cand_id,number_of_contributions,total_contributions
H2NY06124,3,8000
H2NY09110,2,2
H2NY10092,102,181110
H2NY13096,51,114354
H2NY14037,136,283350
H2NY15109,1,1000
H2NY17071,95,216908
H2NY22139,262,470696
H2NY26171,1,500
H2OH01143,4,195
H2OH02085,121,187597
H2OH03067,156,264457
H2OH03125,251,447305
H2OH09031,149,265909
H2OH14064,238,427866
H2OH15095,3,2025
H2OH17109,146,254000
H2OK01143,72,79891
H2OK02083,176,304546
H2OK04055,202,352722
H2OR01133,123,187270
H2PA02055,3,4000
H2PA04135,86,137295
H2PA09035,483,1178377
H2PA09100,1,1000
H2PA11098,212,321222
H2PA15099,3,10000
H2PA17079,97,187029
H2PA18143,241,391500
H2SC02042,305,685932
H2SC02059,191,292822
H2SC07066,171,298452
H2TN05131,60,133500
H2TN06030,229,422480
H2TN07103,66,151863
H2TX00015,100,156536
H2TX03118,139,244751
H2TX03126,245,566330
H2TX05121,234,588824
H2TX10113,1,1000
H2TX14149,72,108935
H2TX16185,10,4000
H2TX23082,265,474767
H2TX23124,294,5781945
H2TX26093,256,484186
H2TX26119,1,2500
H2TX27190,175,294131
H2TX29030,242,476615
H2TX31044,178,273213
H2TX33040,152,262072
H2TX33073,161,268303
H2TX33099,2,6
H2TX35011,168,282995
H2TX35029,4,1510
H2TX36134,1,5000
H2UT01094,125,253139
H2UT02324,144,241114
H2UT04023,467,1393893
H2VA04052,95,61750
H2VA06115,185,412797
H2VI00082,38,73250
H2WA06129,222,370650
H2WI02124,122,232883
H4AL01123,214,323768
H4AL06098,68,108210
H4AR02141,261,468946
H4AR04048,111,164864
H4AS00036,19,42000
H4AZ01038,17,18750
H4AZ04024,49,87743
H4AZ06045,52,118739
H4AZ07043,97,185756
H4CA01066,2,2117
H4CA10075,197,7234331
H4CA11081,104,190212
H4CA12055,9,177088
H4CA16049,96,193220
H4CA17021,11,9500
H4CA20082,174,364503
H4CA23011,92,203895
H4CA24142,116,989406
H4CA25123,376,3521995
H4CA31071,66,80022
H4CA33119,115,189763
H4CA35031,82,171545
H4CA42086,13,40750
H4CA45097,197,378655
H4CA48237,1,500
H4CO02110,1,2500
H4CO03241,1,500
H4CO04090,67,94163
H4CT04114,2,3015
H4FL02062,72,53970
H4FL11071,1,5000
H4FL12061,2,2000
H4FL13001,1,1000
H4FL13101,120,3088990
H4FL19058,7,13500
H4FL19074,2,0
H4FL20023,101,255346
H4FL23076,11,1150088
H4FL26038,568,7593990
H4GA01039,146,254014
H4GA02060,1,5
H4GA06087,270,526363
H4GA08067,21,31762
H4GA10071,2,5100
H4GA11061,112,174614
H4GA12010,2,0
H4HI01134,60,54200
H4IA01069,3,6333
H4IA01077,318,2089171
H4IA03099,1,1000
H4IA03115,409,3886672
H4IA04113,192,4251644
H4IL02160,2,1250
H4IL03077,175,312322
H4IL07037,131,234097
H4IL12060,321,783021
H4IL18059,1,50
H4IN01012,130,292650
H4IN02101,9,6500
H4IN04172,2,3500
H4KS01059,3,47250
H4KY01073,3,4000
H4KY02063,1,1000
H4KY03124,1,26
H4LA05221,72,104638
H4LA06153,181,284684
H4LA07029,121,296000
H4MA03022,77,147861
H4MA03097,85,3541
H4MA05084,102,190439
H4MA06090,120,216010
H4MA09052,2,38
H4MD05144,2,32
H4MD07074,7,5020
H4ME02200,378,5330984
H4ME02234,507,5636157
H4MI04118,86,179239
H4MI04126,113,177172
H4MI05123,2,68
H4MI06105,10,21481
H4MI07103,320,1096550
H4MI08135,203,376230
H4MI11089,9,24010
H4MI11097,93,156671
H4MI12079,110,219072
H4MN06087,194,309330
H4MN08083,169,6555139
H4MO05234,203,323137
H4MO08162,207,384043
H4MS02068,206,398500
H4MT01041,302,915925
H4NC01046,211,365480
H4NC03059,1,1000
H4NC05146,158,292250
H4NC05245,1,0
H4NC06052,75,125805
H4NC06136,3,3000
H4NC10047,312,729625
H4NC11052,1,1315
H4NC12100,100,144039
H4NC12142,1,1000
H4NE01064,90,130608
H4NE02054,472,6497096
H4NJ01084,172,340234
H4NJ03130,190,361787
H4NJ12149,121,191795
H4NM01124,2,42
H4NV04017,289,3536008
H4NY04075,111,212972
H4NY11138,130,219520
H4NY15071,3,10900
H4NY21079,338,816093
H4NY22051,214,3217099
H4NY24073,389,2486956
H4NY27076,71,141135
H4NY29098,4,7028
H4OH02032,4,5000
H4OH04046,3,7000
H4OH10167,3,1599
H4OH14102,5,8000
H4OK05132,84,150909
H4OK05140,2,3000
H4OK06056,188,337349
H4PA00121,6,42512
H4PA03117,11,17064
H4PA05062,1,1000
H4PA06052,23,54000
H4PA06076,1,5000
H4PA07092,39,11980
H4PA08074,15,25525
H4PA08116,3,2000
H4PA09056,10,180247
H4PA12043,14,29500
H4PA13199,151,256233
H4PA15087,290,474495
H4PA17141,6,9200
H4PA18131,156,327487
H4RI01133,4,1151
H4RI02107,2,28
H4SC01073,61,89789
H4TX02108,105,176634
H4TX04039,46,44690
H4TX04153,125,173184
H4TX06117,162,311274
H4TX09095,64,123510
H4TX10028,105,201820
H4TX10093,197,358408
H4TX13014,225,396914
H4TX18054,62,121510
H4TX19102,17,9000
H4TX19136,290,609725
H4TX24094,177,337485
H4UT04011,126,531554
H4VA07143,75,79555
H4VA08224,215,355261
H4VA10010,1,2700
H4VA10089,660,6306046
H4WA04088,1,5000
H4WA04104,163,266394
H4WA05077,262,596825
H4WA05127,7,19510
H4WA05135,1,1000
H4WA08071,222,398336
H4WI04183,149,318966
H4WI06048,49,82000
H4WV02080,175,224681
H4WV03070,216,311037
H5FL20023,1,5000
H5WA07458,6,396501
H6AK00045,107,214727
H6AK00235,24,53122
H6AL04098,239,441046
H6AL05202,5,11500
H6AZ01199,161,358736
H6AZ01215,1,5000
H6AZ01249,1,2000
H6AZ01264,2,3400
H6AZ02171,7,4400
H6AZ02189,51,805570
H6AZ05083,79,119034
H6AZ05125,2,7500
H6AZ07014,1,1000
H6AZ07030,4,7004
H6AZ09010,2,22
H6CA01194,9,11839
H6CA03117,3,2520
H6CA03170,1,1160
H6CA04156,10,14450
H6CA05195,183,329060
H6CA07126,182,4405993
H6CA08207,2,2000
H6CA11169,2,20
H6CA20145,7,59913
H6CA20152,127,237645
H6CA21192,1,2000
H6CA21218,77,1900686
H6CA22125,466,1356617
H6CA23206,2,1257
H6CA24113,143,294648
H6CA24295,1,2300
H6CA24303,210,1694065
H6CA24311,1,2000
H6CA25177,229,2284973
H6CA30185,2,14
H6CA33106,1,100
H6CA35127,2,10
H6CA36182,17,34520
H6CA39020,215,518925
H6CA39137,11,26512
H6CA41182,3,5750
H6CA44103,122,526271
H6CA46033,11,24500
H6CA46108,1,400
H6CA46116,152,350740
H6CA46124,1,5000
H6CA46140,8,11190
H6CA48237,5,4750
H6CA49102,152,3378343
H6CA50209,1,461
H6CA50258,2,5250
H6CA51066,39,7764
H6CA52130,96,166753
H6CO01141,147,262037
H6CO01208,6,7750
H6CO02149,3,1034
H6CO03139,284,2071937
H6CO03170,138,2667583
H6CO04160,5,14000
H6CO05159,91,144989
H6CO06058,308,6919084
H6CO07023,252,483114
H6CO07106,3,1032
H6CT03145,3,543
H6CT05157,5,18146
H6DE00198,1,225
H6DE00206,127,277373
H6DE01071,6,4437
H6DE01089,5,8950
H6DE01097,2,2000
H6FL00292,1,1000
H6FL01119,66,124701
H6FL01184,3,3000
H6FL01218,2,4700
H6FL02190,12,8635
H6FL02208,89,218932
H6FL02257,1,5
H6FL03057,3,250
H6FL03081,2,1500
H6FL04105,68,136048
H6FL05169,4,3025
H6FL06175,2,3000
H6FL06225,2,0
H6FL07140,223,4872390
H6FL08213,5,2450
H6FL09070,148,259900
H6FL09161,14,10103
H6FL09179,131,263374
H6FL09187,8,16204
H6FL10136,1,2000
H6FL11126,94,149861
H6FL11217,2,0
H6FL13148,126,284753
H6FL13189,1,2000
H6FL13205,191,1140957
H6FL14112,2,4500
H6FL16075,1,1000
H6FL18055,13,19000
H6FL18097,280,1285692
H6FL18105,8,4028
H6FL18113,3,1000
H6FL18121,2,2000
H6FL18147,72,6204648
H6FL19087,36,12814
H6FL19095,1,5000
H6FL22073,2,0
H6FL23063,1,150
H6FL24038,2,0
H6FL27031,1,1000
H6FL27049,1,500
H6GA02115,1,500
H6GA03105,2,0
H6GA03113,141,327310
H6GA04129,99,188260
H6GA05217,127,273010
H6GU00042,1,500
H6GU01016,2,800
H6HI01279,1,4
H6HI01287,1,4
H6HI02244,1,5000
H6IA01155,2,0
H6IA02146,208,405821
H6IA02161,3,4000
H6IA04134,7,13800
H6ID01201,1,1500
H6ID01250,24,53099
H6IL01159,2,26
H6IL05150,1,500
H6IL06117,388,740898
H6IL06141,42,69009
H6IL06166,10,10500
H6IL08147,158,347535
H6IL08154,1,500
H6IL08162,3,5000
H6IL08170,23,24275
H6IL08188,1,5000
H6IL09145,3,2000
H6IL11117,71,116631
H6IL12099,41,113668
H6IL14129,3,2250
H6IL17205,2,68
H6IL18088,228,395749
H6IL18161,2,4000
H6IN02155,32,88000
H6IN03229,275,279309
H6IN03252,10,6236
H6IN03286,1,500
H6IN05216,16,21726
H6IN05257,2,700
H6IN06214,1,500
H6IN08244,2,3500
H6IN09176,143,2239807
H6IN10141,1,2500
H6KS01096,6,10000
H6KS01146,14,21500
H6KS01179,150,347042
H6KS03241,52,878100
H6KS04165,3,10250
H6KS04173,2,48250
H6KY01110,78,190225
H6KY03124,96,196966
H6KY03173,2,40
H6KY06127,26,31235
H6LA03098,9,13254
H6LA03106,1,2700
H6LA03114,2,5000
H6LA03122,4,4700
H6LA03130,69,141483
H6LA03148,4,20602
H6LA03149,1,1000
H6LA03155,2,711
H6LA03163,2,711
H6LA04112,3,12964
H6LA04120,10,38235
H6LA04138,71,305561
H6LA04153,1,536
H6MA01096,3,4500
H6MA08141,2,1500
H6MA08299,2,34
H6MD02211,3,520
H6MD03292,9,2645
H6MD03441,15,27000
H6MD04183,5,5000
H6MD04209,159,310611
H6MD04217,6,5250
H6MD06121,9,134500
H6MD06212,61,1445497
H6MD07160,125,258106
H6MD08457,99,197990
H6MD08481,16,4000
H6MD08499,1,5000
H6MD08564,2,38
H6ME01207,2,2500
H6MI00194,1,2500
H6MI01028,63,145172
H6MI01200,198,1656557
H6MI01226,238,3077705
H6MI02182,1,1000
H6MI03172,4,16000
H6MI04113,306,885017
H6MI07108,3,4000
H6MI07223,224,396980
H6MI08163,1,2500
H6MI08247,10,2000
H6MI08262,51,110660
H6MI10193,1,500
H6MI10219,2,7700
H6MI10227,9,31000
H6MI12181,3,499
H6MI12264,2,62
H6MN01174,153,294026
H6MN02099,2,658236
H6MN02123,2,0
H6MN02131,327,2217641
H6MN02149,156,3733905
H6MN02164,1,1000
H6MN02198,8,4000
H6MN04236,1,500
H6MN05183,72,147711
H6MN05332,3,1042
