cand_id,number_of_contributions,total_contributions
S6MO00362,4476,22082066
S6MT00162,25,33500
S6NC00266,13918,26839952
S6ND00108,1,5000
S6NH00091,487,22527845
S6NH00235,3,1008699
S6NJ00263,2,4500
S6NJ00289,5,9500
S6NV00028,88,-135665
S6NV00200,1300,36768601
S6NV00218,809,32693445
S6NV00275,16,114728
S6NY00425,1,491
S6OH00163,20,34000
S6OH00254,25218,28189617
S6OR00110,567,1236120
S6PA00217,28,57600
S6PA00258,1,1000
S6PA00266,12269,45642051
S6RI00163,4,3500
S6RI00221,6,14000
S6SD01091,2,10000
S6TN00216,3,2588
S6UT00063,21,38280
S6UT00246,2,1500
S6VA00093,10,17500
S6WY00068,7,12500
S6WY00126,3,3400
S8AR00088,1,34
S8AZ00064,4,550
S8AZ00197,2,6000
S8CA00135,1,1000
S8DE00079,10,9350
S8FL00166,21,37233
S8ID00027,534,1262564
S8ID00092,2,6000
S8IN00049,856,20028563
S8MI00281,24,34500
S8MN00438,6,12000
S8MS00055,18,22500
S8MS00196,9,8238
S8NM00184,3,5500
S8NY00082,684,1686980
S8OR00207,2,3500
S8PA00320,5,3500
S8TN00337,1,2500
S8WA00026,23,131248
S8WA00194,5,2250
S8WI00026,541,14612682
S8WI00578,1,5000
NA,708,1136150
