committee_id,state,zipcode,transaction_date,transaction_amount
C00010603,NY,112153073,12152016,25
C00010603,FL,334862221,12172016,25
C00010603,MO,631112303,12182016,100
C00010603,WA,980228043,12282016,35
C00010603,FL,334872502,12182016,7
C00575795,CA,902654228,12032016,125
C00458000,NY,148502309,12112016,1250
C00010603,IL,604431071,12022016,10
C00019331,WI,537112225,11302016,250
C00010603,PA,190102258,12032016,3
C00021121,NY,14217,12312016,20
C00580100,MI,49201,12012016,100
C00580100,CA,92663,12122016,400
C00021121,NY,12137,12052016,221
C00581199,CA,95816,12042016,50
C00010603,MI,481053044,12042016,25
C00458000,MA,,12252016,100
C00010603,TX,791148223,12162016,10
C00002972,CO,802330695,12162016,20
C00580100,TX,77450,12172016,440
C00160937,SD,575232202,12212016,25
C00575795,,,12062016,7
C00002972,IL,622441030,12192016,250
C00575795,CA,910072739,12082016,-75
C00010603,MD,212182305,12052016,25
C00581397,MD,20837,12232016,500
C00580100,GA,30066,12012016,2700
C00458000,MD,208176111,12182016,100
C00010603,NC,288032195,12122016,5
C00425975,TX,758400000,12162016,30
C00580100,KY,41007,12012016,100
C00033555,GA,31792,12152016,20
C00580100,VA,22102,12012016,2800
C00580100,IN,46515,12012016,1300
C00581199,AK,99567,12072016,100
C00588772,NY,101281202,12062016,1700
C00580100,VA,22401,12082016,74
C00010603,NY,100232060,12282016,10
C00580100,FL,33175,12162016,-500
C00612481,ID,837051811,12012016,50
C00580100,PA,17263,12132016,250
C00010603,MN,554381910,12072016,50
C00230789,CA,95814,12162016,40
C00394593,LA,707603520,12152016,500
C00458000,MN,551264132,12312016,3
C00010603,TX,770054293,12162016,10
C00010603,PA,189251347,12282016,25
C00010603,CA,922630256,12282016,10
C00010603,WA,981103184,12072016,10
C00010603,OH,430169726,12042016,3
C00544957,SC,29710,12312016,100
C00033555,GA,30097,12292016,5
C00010603,MT,594229247,12282016,10
C00010603,NJ,087362220,12032016,5
C00458000,MA,,12312016,20
