"","V1","V2","V3","V4","V5","V6","V7"
"1695","H4CT04114",2016,2016,"C00550087","H","P",203421
"1696","H4CT04122",2014,2016,"C00553149","H","P",203422
"1697","H4CT04148",2014,2016,"C00555110","H","P",203423
"1698","H4CT05053",2004,2016,"C00327924","H","P",209316
"1699","H4CT05129",2014,2016,"C00544742","H","P",203424
"1700","H4DC00084",2014,2016,"C00564849","H","P",203425
"1701","H4DC00092",2014,2016,"C00566869","H","P",203426
"1702","H4FL00033",2014,2016,"C00562363","H","P",203427
"1703","H4FL01155",2016,2016,"C00558569","H","A",203428
"1704","H4FL01155",2016,2016,"C00618645","H","P",211941
"1705","H4FL02062",2016,2016,"C00566273","H","J",203430
"1706","H4FL02062",2016,2016,"C00543249","H","P",203429
"1707","H4FL02070",2014,2016,"C00556316","H","P",203431
"1708","H4FL03094",2014,2016,"C00557371","H","P",203432
"1709","H4FL03110",2014,2016,"C00560714","H","P",203433
"1710","H4FL04035",2014,2016,"C00558353","H","P",203434
"1711","H4FL04043",2014,2016,"C00561985","H","P",203435
"1712","H4FL05073",2014,2016,"C00550046","H","P",203437
"1713","H4FL05099",2014,2016,"C00567453","H","P",203438
"1714","H4FL06022",2014,2016,"C00540021","H","P",203439
"1715","H4FL07087",2014,2016,"C00553545","H","P",203440
"1716","H4FL07103",2014,2016,"C00559161","H","P",203441
"1717","H4FL08077",2016,2016,"C00543173","H","P",203442
"1718","H4FL08085",2014,2016,"C00543439","H","P",203443
"1719","H4FL08093",2016,2016,"C00559674","H","A",203444
"1720","H4FL08093",2016,2016,"C00589564","H","P",210125
"1721","H4FL09083",2014,2016,"C00544635","H","P",203445
"1722","H4FL09091",2014,2016,"C00545178","H","P",203446
"1723","H4FL09109",2014,2016,"C00545715","H","P",203447
"1724","H4FL09117",2014,2016,"C00546531","H","P",203448
"1725","H4FL09133",2014,2016,"C00565994","H","P",203449
"1726","H4FL10107",2014,2016,"C00556159","H","P",203450
"1727","H4FL11063",2016,2016,"C00543009","H","P",209253
"1728","H4FL11071",2016,2016,"C00552448","H","P",203451
"1729","H4FL12061",2014,2016,"C00540526","H","P",203452
"1730","H4FL13077",2014,2016,"C00542035","H","P",203453
"1731","H4FL13093",2014,2016,"C00551226","H","P",203454
"1732","H4FL13101",2016,2016,"C00551572","H","P",209984
"1733","H4FL13101",2016,2016,"C00565028","N","J",203456
"1734","H4FL13101",2016,2016,"C00572131","H","J",209104
"1735","H4FL13135",2016,2016,"C00592881","H","P",210366
"1736","H4FL14091",2016,2016,"C00620211","H","P",211997
"1737","H4FL15155",2014,2016,"C00548537","H","P",203458
"1738","H4FL16021",2006,2016,"C00289140","H","P",203459
"1739","H4FL16138",2014,2016,"C00552299","H","P",203460
"1740","H4FL16146",2014,2016,"C00555482","H","P",203461
"1741","H4FL17037",2016,2016,"C00562421","H","A",209211
"1742","H4FL17037",2016,2016,"C00574236","H","P",209210
"1743","H4FL18068",2016,2016,"C00547281","H","P",203462
"1744","H4FL18076",2014,2016,"C00550129","H","P",203463
"1745","H4FL18084",2014,2016,"C00555631","H","P",203464
"1746","H4FL18092",2014,2016,"C00557066","H","P",203465
"1747","H4FL18100",2014,2016,"C00558312","H","P",203466
"1748","H4FL19058",2016,2016,"C00541359","H","P",203467
"1749","H4FL19066",2014,2016,"C00552984","H","P",203468
"1750","H4FL19074",2016,2016,"C00554972","H","P",203469
"1751","H4FL19082",2016,2016,"C00555763","H","P",203470
"1752","H4FL19090",2014,2016,"C00556241","H","P",203471
"1753","H4FL20023",2016,2016,"C00385773","H","P",203472
"1754","H4FL20023",2016,2016,"C00545582","N","J",203473
"1755","H4FL20064",2016,2016,"C00550848","H","P",203474
"1756","H4FL20072",2014,2016,"C00564724","H","P",203475
"1757","H4FL21054",2014,2016,"C00539973","H","P",203476
"1758","H4FL21062",2014,2016,"C00547711","H","P",203477
"1759","H4FL22086",2016,2016,"C00553388","H","P",203478
"1760","H4FL22110",2016,2016,"C00564948","H","P",203479
"1761","H4FL23076",2014,2016,"C00547760","H","P",203480
"1762","H4FL24025",2014,2016,"C00557116","H","P",203481
"1763","H4FL26012",2014,2016,"C00541490","H","P",203482
"1764","H4FL26038",2016,2016,"C00573477","H","J",209164
"1765","H4FL26038",2016,2016,"C00546846","H","P",203483
"1766","H4FL26038",2016,2016,"C00565374","N","J",203484
"1767","H4FL26038",2016,2016,"C00568287","H","J",203485
"1768","H4FL26046",2014,2016,"C00548024","H","P",203486
"1769","H4FL26061",2014,2016,"C00550764","H","P",203487
"1770","H4GA01039",2016,2016,"C00543967","H","P",203488
"1771","H4GA01047",2014,2016,"C00544080","H","P",203489
"1772","H4GA01054",2014,2016,"C00545418","H","P",203490
"1773","H4GA01088",2014,2016,"C00547042","H","P",203491
"1774","H4GA01096",2014,2016,"C00552463","H","P",203492
"1775","H4GA01112",2014,2016,"C00555672","H","P",203493
"1776","H4GA01120",2014,2016,"C00556340","H","P",203494
"1777","H4GA02060",2016,2016,"C00542480","H","P",203495
"1778","H4GA02078",2014,2016,"C00560359","H","P",203496
"1779","H4GA04116",2014,2016,"C00551135","H","P",203497
"1780","H4GA04124",2014,2016,"C00553362","H","P",203498
"1781","H4GA06087",2016,2016,"C00386755","H","P",203499
"1782","H4GA06087",2016,2016,"C00459529","N","J",203500
"1783","H4GA08067",2016,2016,"C00387126","H","P",203501
"1784","H4GA08067",2016,2016,"C00462457","N","J",203502
"1785","H4GA09065",2016,2016,"C00559815","H","P",203503
"1786","H4GA10071",2014,2016,"C00544684","H","P",203504
"1787","H4GA10089",2014,2016,"C00554238","H","P",203505
"1788","H4GA11046",2014,2016,"C00543181","H","P",203506
"1789","H4GA11053",2014,2016,"C00543405","H","P",203507
"1790","H4GA11061",2016,2016,"C00543892","H","P",203508
"1791","H4GA11087",2014,2016,"C00544726","H","P",203509
"1792","H4GA11111",2016,2016,"C00623454","H","P",212124
"1793","H4GA12010",2014,2016,"C00384735","H","P",203510
"1794","H4GA12044",2014,2016,"C00557074","H","P",203511
"1795","H4GA12051",2016,2016,"C00547158","H","A",203512
"1796","H4GA12051",2016,2016,"C00606970","H","P",210620
"1797","H4GA13034",2014,2016,"C00553677","H","P",203513
"1798","H4GU00021",2016,2016,"C00565705","H","P",203514
"1799","H4HI01050",2016,2016,"C00627893","H","P",212324
"1800","H4HI01118",2014,2016,"C00546812","H","P",203515
"1801","H4HI01126",2014,2016,"C00547067","H","P",203516
"1802","H4HI01134",2016,2016,"C00548131","H","P",203517
"1803","H4HI01134",2016,2016,"C00569210","N","J",203518
"1804","H4HI01159",2014,2016,"C00550723","H","P",203519
"1805","H4HI01167",2014,2016,"C00551507","H","P",203520
"1806","H4HI01175",2014,2016,"C00556894","H","P",203521
"1807","H4HI02108",2014,2016,"C00555011","H","P",203522
"1808","H4IA01069",2016,2016,"C00541938","H","P",203523
"1809","H4IA01077",2016,2016,"C00571562","H","P",209073
"1810","H4IA01101",2014,2016,"C00546994","H","P",203524
"1811","H4IA02042",2014,2016,"C00546192","H","P",203525
"1812","H4IA02059",2014,2016,"C00561894","H","P",203526
"1813","H4IA03065",2014,2016,"C00546507","H","P",203527
"1814","H4IA03073",2014,2016,"C00548990","H","P",203528
"1815","H4IA03081",2014,2016,"C00556001","H","P",203529
"1816","H4IA03099",2016,2016,"C00555961","H","P",203530
"1817","H4IA03107",2014,2016,"C00556357","H","P",203531
"1818","H4IA03115",2016,2016,"C00545616","H","P",203532
"1819","H4IA03115",2016,2016,"C00568634","N","J",203533
"1820","H4IA03115",2016,2016,"C00573477","H","J",209159
"1821","H4IA03131",2014,2016,"C00565358","H","P",203534
"1822","H4IA04113",2016,2016,"C00546549","H","P",203535
"1823","H4IA05102",2014,2016,"C00287045","H","P",203536
"1824","H4ID01081",2014,2016,"C00550202","H","P",203537
"1825","H4IL00016",2004,2016,"C00390260","H","P",203538
"1826","H4IL00032",2014,2016,"C00548859","H","P",203539
"1827","H4IL02160",2014,2016,"C00540708","H","P",203540
"1828","H4IL02178",2014,2016,"C00540385","H","P",203541
"1829","H4IL02202",2013,2016,"C00541318","H","P",203542
"1830","H4IL02269",2016,2016,"C00592741","H","P",210345
"1831","H4IL02269",2016,2016,"C00540831","H","A",211036
"1832","H4IL02293",2013,2016,"C00542498","H","P",203544
"1833","H4IL02301",2014,2016,"C00541326","H","P",203545
"1834","H4IL02319",2013,2016,"C00542191","H","P",203546
"1835","H4IL03077",2016,2016,"C00405431","H","P",203547
"1836","H4IL03085",2014,2016,"C00553024","H","P",203548
"1837","H4IL04083",2014,2016,"C00540609","H","P",203549
"1838","H4IL06104",2014,2016,"C00553719","H","P",203550
"1839","H4IL07037",2016,2016,"C00172619","H","P",203551
"1840","H4IL07144",2014,2016,"C00549980","H","P",203552
"1841","H4IL07169",2014,2016,"C00558593","H","P",203553
"1842","H4IL08118",2014,2016,"C00549733","H","P",203554
"1843","H4IL08126",2014,2016,"C00551036","H","P",203555
"1844","H4IL09074",2016,2016,"C00545533","H","A",203556
"1845","H4IL09074",2016,2016,"C00574541","H","P",210385
"1846","H4IL11195",2014,2016,"C00544734","H","P",203557
"1847","H4IL11195",2014,2016,"C00567677","H","J",203558
"1848","H4IL11229",2014,2016,"C00545632","H","P",203559
"1849","H4IL12060",2016,2016,"C00546499","H","P",203560
"1850","H4IL12060",2016,2016,"C00573477","H","J",209165
"1851","H4IL13175",2014,2016,"C00544486","H","P",203561
"1852","H4IL13209",2014,2016,"C00547208","H","P",203562
"1853","H4IL13233",2014,2016,"C00554196","H","P",203563
"1854","H4IL14041",2012,2016,"C00513473","H","P",203564
"1855","H4IL15071",2014,2016,"C00549899","H","P",203565
"1856","H4IL16020",2014,2016,"C00553826","H","P",203566
"1857","H4IL17077",2014,2016,"C00569772","H","P",203567
"1858","H4IL18109",2015,2016,"C00582460","H","P",209911
"1859","H4IL18109",2015,2016,"C00555771","H","A",203568
"1860","H4IL19081",2004,2016,"C00408013","H","P",203569
"1861","H4IN01012",2016,2016,"C00166504","H","P",203570
"1862","H4IN02051",2012,2016,"C00500173","Q","U",203571
"1863","H4IN02135",2014,2016,"C00551234","H","P",203573
"1864","H4IN04172",2016,2016,"C00553438","H","P",203574
"1865","H4IN05112",2016,2016,"C00596866","H","P",210414
"1866","H4IN05120",2016,2016,"C00555177","H","P",203575
"1867","H4IN07142",2014,2016,"C00554808","H","P",203576
"1868","H4IN08207",2014,2016,"C00556910","H","P",203577
"1869","H4IN09072",2014,2016,"C00547612","H","P",203578
"1870","H4KS01042",2014,2016,"C00544247","H","P",203579
"1871","H4KS01059",2016,2016,"C00552810","H","P",203580
"1872","H4KS01067",2014,2016,"C00554824","H","P",203581
"1873","H4KS01075",2014,2016,"C00557645","H","P",203582
"1874","H4KS02115",2014,2016,"C00547026","H","P",203583
"1875","H4KS02131",2014,2016,"C00564443","H","P",203584
"1876","H4KS03113",2010,2016,"C00465740","H","P",203585
"1877","H4KS03170",2016,2016,"C00561639","H","A",203587
"1878","H4KS03170",2016,2016,"C00540849","H","A",203586
"1879","H4KS03170",2016,2016,"C00592634","H","P",210341
"1880","H4KS03188",2014,2016,"C00556019","H","P",203588
"1881","H4KS04087",2014,2016,"C00564492","H","P",203589
"1882","H4KS04111",2014,2016,"C00562488","H","P",203590
"1883","H4KY01040",2016,2016,"C00289983","Q","U",203591
"1884","H4KY01065",2014,2016,"C00555383","H","P",203592
"1885","H4KY01073",2016,2016,"C00565663","H","P",203593
"1886","H4KY02089",2014,2016,"C00543538","H","P",203594
"1887","H4KY03210",2014,2016,"C00550855","H","P",203595
"1888","H4KY03244",2014,2016,"C00570036","H","P",203596
"1889","H4KY06072",2012,2016,"C00393512","H","P",203597
"1890","H4KY06130",2014,2016,"C00545988","H","P",203598
"1891","H4KY06148",2016,2016,"C00607242","H","P",210675
"1892","H4KY06163",2016,2016,"C00561548","H","A",203599
"1893","H4KY06163",2016,2016,"C00599514","H","P",210473
"1894","H4LA01139",2014,2016,"C00567750","H","P",203600
"1895","H4LA02103",2014,2016,"C00568766","H","P",203601
"1896","H4LA03069",2006,2016,"C00401315","H","P",203602
"1897","H4LA05064",2013,2016,"C00548107","H","P",203603
"1898","H4LA05080",2016,2016,"C00567123","H","P",203604
"1899","H4LA05098",2016,2016,"C00549113","H","P",203605
"1900","H4LA05106",2013,2016,"C00549261","H","P",203606
"1901","H4LA05130",2014,2016,"C00549352","H","P",203607
"1902","H4LA05155",2013,2016,"C00548974","H","P",203608
"1903","H4LA05163",2013,2016,"C00549600","H","P",203609
"1904","H4LA05213",2014,2016,"C00562439","H","P",203610
"1905","H4LA05221",2016,2016,"C00563940","H","P",203611
"1906","H4LA05247",2014,2016,"C00565044","H","P",203612
"1907","H4LA06047",2014,2016,"C00568600","H","P",203613
"1908","H4LA06062",2016,2016,"C00542472","H","P",203614
"1909","H4LA06070",2014,2016,"C00543694","H","P",203615
"1910","H4LA06088",2014,2016,"C00545103","H","P",203616
"1911","H4LA06096",2014,2016,"C00547927","H","P",203617
"1912","H4LA06104",2014,2016,"C00552380","H","P",203618
"1913","H4LA06112",2014,2016,"C00554253","H","P",203619
"1914","H4LA06120",2014,2016,"C00555474","H","P",203620
"1915","H4LA06138",2014,2016,"C00557363","H","P",203621
"1916","H4LA06146",2014,2016,"C00557728","H","P",203622
"1917","H4LA06153",2016,2016,"C00558486","H","P",203623
"1918","H4LA06161",2014,2016,"C00560268","H","P",203624
"1919","H4LA06179",2014,2016,"C00564138","H","P",203625
"1920","H4MA01059",2016,2016,"C00565085","H","P",203627
"1921","H4MA02057",2014,2016,"C00551143","H","P",203628
"1922","H4MA03022",2016,2016,"C00285171","H","P",203629
"1923","H4MA03097",2016,2016,"C00564450","H","P",203630
"1924","H4MA05043",2012,2016,"C00190637","H","P",203631
"1925","H4MA05084",2016,2016,"C00567321","H","J",203633
"1926","H4MA05084",2016,2016,"C00541888","H","P",203632
"1927","H4MA05118",2013,2016,"C00547059","H","P",203634
"1928","H4MA05126",2013,2016,"C00547463","H","P",203635
"1929","H4MA05134",2014,2016,"C00548560","H","P",203636
"1930","H4MA05142",2014,2016,"C00548842","H","P",203637
"1931","H4MA05167",2014,2016,"C00557967","H","P",203638
"1932","H4MA05175",2014,2016,"C00561324","H","P",203639
"1933","H4MA06033",2014,2016,"C00318196","H","P",203640
"1934","H4MA06090",2016,2016,"C00547240","H","P",203641
"1935","H4MA06108",2014,2016,"C00547257","H","P",203642
"1936","H4MA06116",2014,2016,"C00556753","H","P",203643
"1937","H4MA06124",2014,2016,"C00565424","H","P",203644
"1938","H4MA07106",2014,2016,"C00556811","H","P",203645
"1939","H4MA09052",2016,2016,"C00607770","H","P",210763
"1940","H4MA09052",2016,2016,"C00550715","H","A",203646
"1941","H4MA09078",2014,2016,"C00553917","H","P",203647
"1942","H4MA09078",2014,2016,"C00568626","N","J",203648
"1943","H4MA09086",2014,2016,"C00556217","H","P",203649
"1944","H4MD01101",2014,2016,"C00543587","H","P",203650
"1945","H4MD01119",2014,2016,"C00554931","H","P",203651
"1946","H4MD01127",2016,2016,"C00612671","H","P",211018
"1947","H4MD02166",2014,2016,"C00550335","H","P",203652
"1948","H4MD02174",2014,2016,"C00556761","H","P",203653
"1949","H4MD03123",2014,2016,"C00565879","H","P",203654
"1950","H4MD04071",2016,2016,"C00623199","H","P",212123
"1951","H4MD04113",2016,2016,"C00550004","H","P",203655
"1952","H4MD04121",2014,2016,"C00555144","H","P",203656
"1953","H4MD05144",2016,2016,"C00574939","H","P",210775
"1954","H4MD06191",2014,2016,"C00545475","H","P",203657
"1955","H4MD06209",2016,2016,"C00553982","H","P",203658
"1956","H4MD07066",2016,2016,"C00565820","H","A",209052
"1957","H4MD07066",2016,2016,"C00566653","H","P",209053
"1958","H4MD07066",2015,2016,"C00565820","H","A",203659
"1959","H4MD07066",2015,2016,"C00566653","H","P",203660
"1960","H4MD07074",2016,2016,"C00565200","H","P",203661
"1961","H4MD08171",2016,2016,"C00601021","H","P",210500
"1962","H4ME00014",2014,2016,"C00556308","H","P",203662
"1963","H4ME01137",2014,2016,"C00549329","H","P",203663
"1964","H4ME02200",2016,2016,"C00567727","N","J",212384
"1965","H4ME02200",2016,2016,"C00546077","H","P",203664
"1966","H4ME02218",2016,2016,"C00546572","H","P",203665
"1967","H4ME02234",2016,2016,"C00573477","H","J",209157
"1968","H4ME02234",2016,2016,"C00571505","H","J",209068
"1969","H4ME02234",2016,2016,"C00518654","H","P",203666
"1970","H4ME02234",2016,2016,"C00580696","H","J",209591
"1971","H4MI01114",2014,2016,"C00547794","H","P",203667
"1972","H4MI01122",2014,2016,"C00555664","H","P",203668
"1973","H4MI02104",2014,2016,"C00556688","H","P",203669
"1974","H4MI03219",2014,2016,"C00550624","H","P",203670
"1975","H4MI03227",2014,2016,"C00560755","H","P",203671
"1976","H4MI04118",2016,2016,"C00561423","H","A",203672
"1977","H4MI04118",2016,2016,"C00581090","H","P",209621
"1978","H4MI04126",2016,2016,"C00561530","H","P",203673
"1979","H4MI04134",2014,2016,"C00565432","H","P",203674
"1980","H4MI05149",2014,2016,"C00562629","H","P",203675
"1981","H4MI06105",2016,2016,"C00540856","H","P",203676
"1982","H4MI07103",2016,2016,"C00577973","N","J",209429
"1983","H4MI07103",2016,2016,"C00390724","H","P",203677
"1984","H4MI07111",2004,2016,"C00391193","H","P",203678
"1985","H4MI07178",2014,2016,"C00547174","H","P",203679
"1986","H4MI08101",2016,2016,"C00554303","H","P",203680
"1987","H4MI08119",2014,2016,"C00558239","H","P",203681
"1988","H4MI08127",2014,2016,"C00560987","H","P",203682
"1989","H4MI08135",2016,2016,"C00584730","N","J",209833
"1990","H4MI08135",2016,2016,"C00561001","H","P",203683
"1991","H4MI08143",2014,2016,"C00564211","H","P",203684
"1992","H4MI09075",2014,2016,"C00543512","H","P",203685
"1993","H4MI11089",2016,2016,"C00548925","H","P",203686
"1994","H4MI11097",2016,2016,"C00548941","H","P",203687
"1995","H4MI11105",2014,2016,"C00550673","H","P",203688
"1996","H4MI12061",2014,2016,"C00557892","H","P",203689
"1997","H4MI12079",2016,2016,"C00558213","H","P",203690
"1998","H4MI13192",2014,2016,"C00559823","H","P",203691
"1999","H4MI14117",2014,2016,"C00544759","H","P",203692
"2000","H4MI14133",2014,2016,"C00548529","H","P",203693
"2001","H4MI14158",2014,2016,"C00549998","H","P",203694
"2002","H4MI14166",2014,2016,"C00554923","H","P",203695
"2003","H4MN02128",2014,2016,"C00546465","H","P",203696
"2004","H4MN02136",2016,2016,"C00548727","H","P",203697
"2005","H4MN02144",2014,2016,"C00565515","H","P",203698
"2006","H4MN04116",2014,2016,"C00562207","H","P",203699
"2007","H4MN05071",2016,2016,"C00563205","H","P",203700
"2008","H4MN06087",2016,2016,"C00545749","H","P",203701
"2009","H4MN06087",2016,2016,"C00580696","H","J",209588
"2010","H4MN06087",2016,2016,"C00573444","N","J",209166
"2011","H4MN07077",2014,2016,"C00558742","N","J",203703
"2012","H4MN07077",2014,2016,"C00554352","H","P",203702
"2013","H4MN08083",2016,2016,"C00546739","H","A",203704
"2014","H4MN08083",2016,2016,"C00558742","N","J",203705
"2015","H4MN08083",2016,2016,"C00588871","H","P",210105
"2016","H4MO00011",2014,2016,"C00559930","H","P",203706
"2017","H4MO01118",2014,2016,"C00565531","H","P",203707
"2018","H4MO01126",2014,2016,"C00561027","H","P",203708
"2019","H4MO04088",2010,2016,"C00449587","H","P",203709
"2020","H4MO04120",2014,2016,"C00561142","H","P",203710
"2021","H4MO04138",2016,2016,"C00565523","H","P",203711
"2022","H4MO05234",2016,2016,"C00395848","H","P",203712
"2023","H4MO06067",2014,2016,"C00556845","H","P",203713
"2024","H4MO07131",2016,2016,"C00560623","H","P",203714
"2025","H4MO08147",2013,2016,"C00540823","H","P",203715
"2026","H4MO08154",2013,2016,"C00541300","H","P",203716
"2027","H4MO08162",2016,2016,"C00571505","H","J",209063
"2028","H4MO08162",2016,2016,"C00573436","N","J",209167
"2029","H4MO08162",2016,2016,"C00541862","H","P",203717
"2030","H4MO08188",2014,2016,"C00542944","H","P",203718
"2031","H4MO08204",2013,2016,"C00544643","H","P",203719
"2032","H4MO08212",2014,2016,"C00549287","H","P",203720
"2033","H4MO08220",2014,2016,"C00564963","H","P",203721
"2034","H4MS00013",2014,2016,"C00558940","H","P",203722
"2035","H4MS01110",2014,2016,"C00563486","H","P",203723
"2036","H4MS02068",2016,2016,"C00279851","H","P",203724
"2037","H4MS02191",2014,2016,"C00565416","H","P",203725
"2038","H4MS04106",2014,2016,"C00558007","H","P",203726
"2039","H4MS04122",2014,2016,"C00560649","H","P",203727
"2040","H4MS04148",2014,2016,"C00560334","H","P",203728
"2041","H4MT00050",2014,2016,"C00548289","H","P",203729
"2042","H4MT00068",2014,2016,"C00548495","H","P",203730
"2043","H4MT00076",2014,2016,"C00552281","H","P",203731
"2044","H4MT01033",2014,2016,"C00542068","H","P",203732
"2045","H4MT01041",2016,2016,"C00566703","N","J",203735
"2046","H4MT01041",2016,2016,"C00550871","H","P",203733
"2047","H4MT01041",2016,2016,"C00566240","N","J",203734
"2048","H4MT01041",2016,2016,"C00568048","H","J",203736
"2049","H4MT01041",2016,2016,"C00582718","N","J",209704
"2050","H4NC01046",2016,2016,"C00401190","H","P",203737
"2051","H4NC01095",2014,2016,"C00558072","H","P",203738
"2052","H4NC02101",2014,2016,"C00550905","H","P",203739
"2053","H4NC02119",2014,2016,"C00553354","H","P",203740
"2054","H4NC02127",2014,2016,"C00556092","H","P",203741
"2055","H4NC03042",2014,2016,"C00541409","H","P",203742
"2056","H4NC03059",2016,2016,"C00581314","H","P",211181
"2057","H4NC04115",2014,2016,"C00560177","H","P",203743
"2058","H4NC05146",2016,2016,"C00386748","H","P",203744
"2059","H4NC05161",2004,2016,"C00386946","H","P",203745
"2060","H4NC05245",2016,2016,"C00560433","H","P",203746
"2061","H4NC05260",2016,2016,"C00562181","H","P",203747
"2062","H4NC06052",2016,2016,"C00543231","H","P",203748
"2063","H4NC06078",2014,2016,"C00546879","H","P",203749
"2064","H4NC06094",2014,2016,"C00550137","H","P",203750
"2065","H4NC06102",2014,2016,"C00552638","H","P",203751
"2066","H4NC06128",2014,2016,"C00555045","H","P",203752
"2067","H4NC06136",2016,2016,"C00556944","H","P",203753
"2068","H4NC06144",2016,2016,"C00561258","H","P",203754
"2069","H4NC07068",2014,2016,"C00543074","H","P",203755
"2070","H4NC07076",2014,2016,"C00554501","H","P",203756
"2071","H4NC07100",2016,2016,"C00621953","H","P",212078
"2072","H4NC07100",2016,2016,"C00562314","H","A",203757
"2073","H4NC09130",2014,2016,"C00542738","H","P",203758
"2074","H4NC10047",2016,2016,"C00393629","H","P",203759
"2075","H4NC10047",2016,2016,"C00570200","H","J",203760
"2076","H4NC10088",2010,2016,"C00467175","H","P",203761
"2077","H4NC10096",2014,2016,"C00549907","H","P",203762
"2078","H4NC10104",2014,2016,"C00554840","H","P",203763
"2079","H4NC11052",2012,2016,"C00508069","H","P",203764
"2080","H4NC11078",2014,2016,"C00556126","H","P",203765
"2081","H4NC11086",2016,2016,"C00567826","H","P",203766
"2082","H4NC12050",2014,2016,"C00544668","H","P",203767
"2083","H4NC12068",2016,2016,"C00545228","H","P",203768
"2084","H4NC12076",2014,2016,"C00545400","H","A",203769
"2085","H4NC12084",2016,2016,"C00545756","H","P",203770
"2086","H4NC12092",2014,2016,"C00546515","H","P",203771
"2087","H4NC12100",2016,2016,"C00546358","H","P",203772
"2088","H4NC12118",2014,2016,"C00547562","H","P",203773
"2089","H4NC12126",2014,2016,"C00557991","H","P",203774
"2090","H4NC12134",2014,2016,"C00558106","H","P",203775
"2091","H4NC12142",2016,2016,"C00603498","H","P",210566
"2092","H4NC12142",2016,2016,"C00558908","H","A",203776
"2093","H4NC13025",2014,2016,"C00553008","H","P",203777
"2094","H4NC13033",2014,2016,"C00553842","H","P",203778
"2095","H4NC13058",2016,2016,"C00561340","H","P",203779
"2096","H4ND00046",2014,2016,"C00560441","H","P",203780
"2097","H4ND01028",2016,2016,"C00564609","H","P",203781
"2098","H4NE01064",2016,2016,"C00395467","H","P",203782
"2099","H4NE01163",2014,2016,"C00550749","H","P",203783
"2100","H4NE02054",2016,2016,"C00557181","H","P",203784
"2101","H4NE02096",2014,2016,"C00553297","H","P",203785
"2102","H4NE02112",2014,2016,"C00561134","H","P",203786
"2103","H4NE02120",2016,2016,"C00565598","H","P",203787
"2104","H4NE03060",2014,2016,"C00554576","H","P",203788
"2105","H4NH01219",2016,2016,"C00551044","H","P",203789
"2106","H4NH02233",2014,2016,"C00548917","H","P",203790
"2107","H4NH02241",2014,2016,"C00552364","H","P",203791
"2108","H4NH02241",2014,2016,"C00568311","H","J",203792
"2109","H4NH02258",2016,2016,"C00565119","H","P",209080
"2110","H4NJ01076",2014,2016,"C00542241","H","P",203793
"2111","H4NJ01084",2016,2016,"C00558320","H","P",203794
"2112","H4NJ01100",2014,2016,"C00562843","H","P",203795
"2113","H4NJ01118",2014,2016,"C00563692","H","P",203796
"2114","H4NJ01142",2016,2016,"C00566000","H","P",203797
"2115","H4NJ02140",2014,2016,"C00551309","H","P",203798
"2116","H4NJ02157",2016,2016,"C00608968","H","P",210757
"2117","H4NJ03106",2014,2016,"C00569376","N","J",203800
"2118","H4NJ03106",2014,2016,"C00550103","H","P",203799
"2119","H4NJ03122",2014,2016,"C00554717","H","P",203801
"2120","H4NJ03130",2016,2016,"C00557520","H","P",203802
"2121","H4NJ03148",2014,2016,"C00557678","H","P",203803
"2122","H4NJ03163",2016,2016,"C00611418","H","P",210932
"2123","H4NJ04112",2016,2016,"C00550681","H","P",203804
"2124","H4NJ04120",2014,2016,"C00560631","H","P",203805
"2125","H4NJ05135",2014,2016,"C00544007","H","P",203806
"2126","H4NJ06109",2014,2016,"C00561043","H","P",203807
"2127","H4NJ07099",2014,2016,"C00554980","H","P",203808
"2128","H4NJ09095",2016,2016,"C00404335","H","P",203809
"2129","H4NJ09111",2014,2016,"C00568782","H","P",203810
"2130","H4NJ09129",2014,2016,"C00569988","H","P",203811
"2131","H4NJ10085",2016,2016,"C00549683","H","P",203812
"2132","H4NJ11109",2016,2016,"C00557710","H","A",203813
"2133","H4NJ11109",2016,2016,"C00616326","H","P",211250
"2134","H4NJ12081",2004,2016,"C00393926","H","P",203814
"2135","H4NJ12123",2014,2016,"C00554378","H","P",203815
"2136","H4NJ12131",2014,2016,"C00558171","H","P",203816
"2137","H4NJ12149",2016,2016,"C00558437","H","P",203817
"2138","H4NJ13022",2008,2016,"C00197699","H","P",203818
"2139","H4NM01116",2014,2016,"C00553396","H","P",203819
"2140","H4NM01124",2016,2016,"C00553420","H","P",203820
"2141","H4NM02064",2014,2016,"C00546374","H","P",203821
"2142","H4NM02072",2014,2016,"C00548883","H","P",203822
"2143","H4NV01146",2014,2016,"C00557090","H","P",203823
"2144","H4NV01153",2016,2016,"C00559492","H","P",203824
"2145","H4NV02136",2016,2016,"C00564740","H","P",203825
"2146","H4NV03043",2010,2016,"C00463604","H","P",203826
"2147","H4NV03084",2014,2016,"C00546390","H","P",203827
"2148","H4NV04017",2016,2016,"C00550608","H","P",203828
"2149","H4NV04017",2016,2016,"C00573477","H","J",209151
"2150","H4NV04025",2014,2016,"C00554485","H","P",203829
"2151","H4NY03077",2014,2016,"C00557900","H","P",203830
"2152","H4NY04059",2004,2016,"C00392506","H","A",203831
"2153","H4NY04059",2004,2016,"C00480368","H","P",203832
"2154","H4NY04067",2014,2016,"C00555292","H","P",203833
"2155","H4NY04075",2016,2016,"C00555813","H","P",203834
"2156","H4NY04075",2016,2016,"C00567594","N","J",203835
"2157","H4NY04083",2014,2016,"C00556035","H","P",203836
"2158","H4NY04091",2014,2016,"C00558189","H","P",203837
