"","V1","V2","V3","V4","V5","V6","V7"
"109","H0CA53024",2010,2016,"C00469916","H","P",201968
"110","H0CO01086",2010,2016,"C00482331","H","P",201969
"111","H0CO01094",2010,2016,"C00483776","H","P",201970
"112","H0CO04114",2010,2016,"C00457879","H","P",201971
"113","H0CO04122",2014,2016,"C00541383","N","J",201973
"114","H0CO07042",2010,2016,"C00469593","H","P",201974
"115","H0CT02140",2016,2016,"C00589713","H","P",210150
"116","H0CT03072",2016,2016,"C00238865","H","P",201975
"117","H0CT03106",2010,2016,"C00467969","H","P",201976
"118","H0CT03122",2010,2016,"C00479790","H","P",201977
"119","H0CT04138",2010,2016,"C00465047","H","P",201978
"120","H0CT04146",2014,2016,"C00549527","H","P",201979
"121","H0CT04161",2010,2016,"C00469692","H","P",201980
"122","H0CT04179",2010,2016,"C00479006","H","P",201981
"123","H0CT05119",2012,2016,"C00461053","H","P",201982
"124","H0CT05127",2016,2016,"C00462663","H","P",201983
"125","H0CT05150",2014,2016,"C00493395","H","P",201984
"126","H0DC00058",2016,2016,"C00244335","H","P",201985
"127","H0DC00165",2010,2016,"C00484477","H","P",201986
"128","H0DC00215",2014,2016,"C00486746","H","A",201987
"129","H0DC00215",2014,2016,"C00552224","H","P",201988
"130","H0DE00068",2016,2016,"C00455006","H","P",201989
"131","H0DE00118",2010,2016,"C00472902","H","P",201990
"132","H0DE01017",2016,2016,"C00460899","H","P",201991
"133","H0DE01025",2016,2016,"C00548040","H","P",201992
"134","H0DE01033",2010,2016,"C00476309","H","P",201993
"135","H0FL00023",2014,2016,"C00466060","H","P",201994
"136","H0FL02086",2016,2016,"C00460261","H","P",201995
"137","H0FL02110",2014,2016,"C00468959","H","P",201996
"138","H0FL02110",2014,2016,"C00493783","H","J",201997
"139","H0FL02110",2014,2016,"C00561951","N","J",201998
"140","H0FL02136",2014,2016,"C00545491","H","P",201999
"141","H0FL03076",2010,2016,"C00467704","H","P",202000
"142","H0FL03084",2010,2016,"C00469387","H","P",202001
"143","H0FL03092",2010,2016,"C00469288","H","P",202002
"144","H0FL03100",2012,2016,"C00479030","H","P",202003
"145","H0FL03118",2010,2016,"C00481739","H","P",202004
